path,scan_and_pvol_count,error_no_vradh,radar
belgium/2014/20140627.tgz,96,96,bewid
belgium/2014/20140628.tgz,96,96,bewid
belgium/2014/20140629.tgz,96,96,bewid
belgium/2014/20140630.tgz,96,96,bewid
belgium/2014/20140701.tgz,94,94,bewid
belgium/2014/20140702.tgz,96,96,bewid
belgium/2014/20140703.tgz,96,96,bewid
belgium/2014/20140704.tgz,96,96,bewid
belgium/2014/20140705.tgz,96,96,bewid
belgium/2014/20140706.tgz,96,96,bewid
belgium/2014/20140707.tgz,96,96,bewid
belgium/2014/20140708.tgz,96,96,bewid
belgium/2014/20140709.tgz,94,94,bewid
belgium/2014/20140710.tgz,96,96,bewid
belgium/2014/20140711.tgz,96,96,bewid
belgium/2014/20140712.tgz,96,96,bewid
belgium/2014/20140713.tgz,96,96,bewid
belgium/2014/20140714.tgz,96,96,bewid
belgium/2014/20140715.tgz,96,96,bewid
belgium/2014/20140716.tgz,96,96,bewid
belgium/2014/20140717.tgz,96,96,bewid
belgium/2014/20140718.tgz,96,96,bewid
belgium/2014/20140719.tgz,96,96,bewid
belgium/2014/20140720.tgz,96,96,bewid
belgium/2014/20140721.tgz,96,96,bewid
belgium/2014/20140722.tgz,96,96,bewid
belgium/2014/20140723.tgz,96,96,bewid
belgium/2014/20140724.tgz,96,96,bewid
belgium/2014/20140725.tgz,96,96,bewid
belgium/2014/20140726.tgz,96,96,bewid
belgium/2014/20140727.tgz,96,96,bewid
belgium/2014/20140728.tgz,96,96,bewid
belgium/2014/20140729.tgz,96,96,bewid
belgium/2014/20140730.tgz,96,96,bewid
belgium/2014/20140731.tgz,96,96,bewid
belgium/2014/20140801.tgz,96,96,bewid
belgium/2014/20140802.tgz,96,96,bewid
belgium/2014/20140803.tgz,96,96,bewid
belgium/2014/20140804.tgz,96,96,bewid
belgium/2014/20140805.tgz,96,96,bewid
belgium/2014/20140806.tgz,96,96,bewid
belgium/2014/20140807.tgz,96,96,bewid
belgium/2014/20140808.tgz,96,96,bewid
belgium/2014/20140809.tgz,96,96,bewid
belgium/2014/20140810.tgz,96,96,bewid
belgium/2014/20140811.tgz,96,96,bewid
belgium/2014/20140812.tgz,95,95,bewid
belgium/2014/20140813.tgz,96,96,bewid
belgium/2014/20140814.tgz,96,96,bewid
belgium/2014/20140815.tgz,96,96,bewid
belgium/2014/20140816.tgz,96,96,bewid
belgium/2014/20140817.tgz,96,96,bewid
belgium/2014/20140818.tgz,96,96,bewid
belgium/2014/20140819.tgz,96,96,bewid
belgium/2014/20140820.tgz,96,96,bewid
belgium/2014/20140821.tgz,96,96,bewid
belgium/2014/20140822.tgz,96,96,bewid
belgium/2014/20140823.tgz,96,96,bewid
belgium/2014/20140824.tgz,96,96,bewid
belgium/2014/20140825.tgz,96,96,bewid
belgium/2014/20140826.tgz,96,96,bewid
belgium/2014/20140827.tgz,96,96,bewid
belgium/2014/20140828.tgz,96,96,bewid
belgium/2014/20140829.tgz,96,96,bewid
belgium/2014/20140830.tgz,96,96,bewid
belgium/2014/20140831.tgz,96,96,bewid
belgium/2014/20140901.tgz,96,96,bewid
belgium/2014/20140902.tgz,80,80,bewid
belgium/2014/20140903.tgz,96,96,bewid
belgium/2014/20140904.tgz,96,96,bewid
belgium/2014/20140905.tgz,96,96,bewid
belgium/2014/20140906.tgz,96,96,bewid
belgium/2014/20140907.tgz,96,96,bewid
belgium/2014/20140908.tgz,71,71,bewid
belgium/2014/20140909.tgz,96,96,bewid
belgium/2014/20140910.tgz,96,96,bewid
belgium/2014/20140911.tgz,96,96,bewid
belgium/2014/20140912.tgz,96,96,bewid
belgium/2014/20140913.tgz,96,96,bewid
belgium/2014/20140914.tgz,96,96,bewid
belgium/2014/20140915.tgz,96,96,bewid
belgium/2014/20140916.tgz,96,96,bewid
belgium/2014/20140917.tgz,96,96,bewid
belgium/2014/20140918.tgz,47,47,bewid
belgium/2014/20140919.tgz,96,96,bewid
belgium/2014/20140920.tgz,96,96,bewid
belgium/2014/20140921.tgz,96,96,bewid
belgium/2014/20140922.tgz,84,84,bewid
belgium/2014/20140923.tgz,96,96,bewid
belgium/2014/20140924.tgz,96,96,bewid
belgium/2014/20140925.tgz,96,96,bewid
belgium/2014/20140926.tgz,96,96,bewid
belgium/2014/20140927.tgz,96,96,bewid
